[2016-03-13 21:27:02.186] log4j - 17604  INFO [restartedMain] --- Application: Starting Application on DESKTOP-UQDOSCM with PID 17604 (D:\Documents\OneDrive\Documents\project\IntellijPro\blog\target\classes started by lenovo in D:\Documents\OneDrive\Documents\project\IntellijPro\blog)
[2016-03-13 21:27:02.191] log4j - 17604  INFO [restartedMain] --- Application: No active profile set, falling back to default profiles: default
[2016-03-13 21:27:02.307] log4j - 17604  INFO [restartedMain] --- AnnotationConfigEmbeddedWebApplicationContext: Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@48a5633a: startup date [Sun Mar 13 21:27:02 CST 2016]; root of context hierarchy
[2016-03-13 21:27:07.613] log4j - 17604  INFO [restartedMain] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$361f3cc3] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2016-03-13 21:27:08.358] log4j - 17604  INFO [restartedMain] --- TomcatEmbeddedServletContainer: Tomcat initialized with port(s): 8080 (http)
[2016-03-13 21:27:08.380] log4j - 17604  INFO [restartedMain] --- StandardService: Starting service Tomcat
[2016-03-13 21:27:08.382] log4j - 17604  INFO [restartedMain] --- StandardEngine: Starting Servlet Engine: Apache Tomcat/8.0.30
[2016-03-13 21:27:08.592] log4j - 17604  INFO [localhost-startStop-1] --- [/]: Initializing Spring embedded WebApplicationContext
[2016-03-13 21:27:08.593] log4j - 17604  INFO [localhost-startStop-1] --- ContextLoader: Root WebApplicationContext: initialization completed in 6291 ms
[2016-03-13 21:27:09.670] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'characterEncodingFilter' to: [/*]
[2016-03-13 21:27:09.671] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
[2016-03-13 21:27:09.672] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'httpPutFormContentFilter' to: [/*]
[2016-03-13 21:27:09.672] log4j - 17604  INFO [localhost-startStop-1] --- FilterRegistrationBean: Mapping filter: 'requestContextFilter' to: [/*]
[2016-03-13 21:27:09.674] log4j - 17604  INFO [localhost-startStop-1] --- DelegatingFilterProxyRegistrationBean: Mapping filter: 'springSecurityFilterChain' to: [/*]
[2016-03-13 21:27:09.674] log4j - 17604  INFO [localhost-startStop-1] --- ServletRegistrationBean: Mapping servlet: 'dispatcherServlet' to [/]
[2016-03-13 21:27:11.077] log4j - 17604  INFO [localhost-startStop-1] --- AuthenticationManagerConfiguration: 

Using default security password: 367eec71-bdae-4993-9e36-923cf7ea01cd

[2016-03-13 21:27:11.093] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/css/**'], []
[2016-03-13 21:27:11.093] log4j - 17604  INFO [localhost-startStop-1] --- DefaultSecurityFilterChain: Creating filter chain: Ant [pattern='/js/**'], []
